xf01dbadm01,10.108.0.11,0.108.10,11
xf01dbadm02,10.108.0.12,0.108.10,12
xf01celadm01,10.108.0.13,0.108.10,13
xf01celadm02,10.108.0.14,0.108.10,14
xf01celadm03,10.108.0.15,0.108.10,15
xf01sw-adm01,10.108.0.21,0.108.10,21
xf01sw-iba01,10.108.0.22,0.108.10,22
xf01sw-ibb01,10.108.0.23,0.108.10,23
xf01sw-pdua01,10.108.0.24,0.108.10,24
xf01sw-pdub01,10.108.0.25,0.108.10,25
xf01dbadm01-ilom,10.108.0.16,0.108.10,16
xf01dbadm02-ilom,10.108.0.17,0.108.10,17
xf01celadm01-ilom,10.108.0.18,0.108.10,18
xf01celadm02-ilom,10.108.0.19,0.108.10,19
xf01celadm03-ilom,10.108.0.20,0.108.10,20
xf01db01,10.108.1.11,1.108.10,11
xf01db02,10.108.1.13,1.108.10,13
xf01db01-vip,10.108.1.12,1.108.10,12
xf01db02-vip,10.108.1.14,1.108.10,14
xf01-scan,10.108.1.15,1.108.10,15
xf01-scan,10.108.1.16,1.108.10,16
xf01-scan,10.108.1.17,1.108.10,17
xf01db01-priv1,192.168.10.1,10.168.192,1
xf01db01-priv2,192.168.10.2,10.168.192,2
xf01db02-priv1,192.168.10.3,10.168.192,3
xf01db02-priv2,192.168.10.4,10.168.192,4
xf01cel01-priv1,192.168.10.5,10.168.192,5
xf01cel01-priv2,192.168.10.6,10.168.192,6
xf01cel02-priv1,192.168.10.7,10.168.192,7
xf01cel02-priv2,192.168.10.8,10.168.192,8
xf01cel03-priv1,192.168.10.9,10.168.192,9
xf01cel03-priv2,192.168.10.10,10.168.192,10
xf01db01-dr,10.105.0.11,0.105.10,11
xf01db02-dr,10.105.0.12,0.105.10,12
